,account_number,card_number,aty_code,card_status,foracid,car_code,product_code,acc_paym_mode,credit_limit,car_create_date
0,FA8810173928166056,CN4408661043257584,1,Y,CN4408661043257584,4770233,PDSC3,,,2022-10-30
1,FA9478210156690365,CR4509590456884356,2,Y,CR4509590456884356,4778560,PDSC2,10.0,65000.0,2023-04-15
2,FA9478210156690365,CR4509327187196140,2,Y,CR4509327187196140,4794252,PDSC2,100.0,71000.0,2022-12-15
3,FA9478210156690365,CN4408932652334641,1,Y,CN4408932652334641,4771675,PDSC3,,,2023-01-12
4,FA7619556712561457,CN4408846605582679,1,Y,CN4408846605582679,4732384,PDSC3,,,2022-10-19
5,FA7619556712561457,CR4509401409102136,2,Y,CR4509401409102136,4733361,PDSC2,100.0,76000.0,2023-02-24
6,FA7619556712561457,CN4408673234114249,1,Y,CN4408673234114249,4718065,PDSC3,,,2023-05-21
7,FA3403894863339345,CN4408725388506550,1,Y,CN4408725388506550,4737745,PDSC3,,,2023-04-09
8,FA3403894863339345,CN4408277471288077,1,Y,CN4408277471288077,4797207,PDSC3,,,2022-08-29
9,FA5942670485858553,CN4408236072614928,1,Y,CN4408236072614928,4746365,PDSC3,,,2023-02-04
10,FA6249234890363167,CN4408578270737443,1,Y,CN4408578270737443,4788072,PDSC3,,,2022-09-25
11,FA6249234890363167,CN4408661326959752,1,Y,CN4408661326959752,4772100,PDSC3,,,2022-06-17
12,FA9120365226525720,CN4408562818999588,1,Y,CN4408562818999588,4731416,PDSC3,,,2023-03-12
13,FA9120365226525720,CN4408892527052213,1,N,CN4408892527052213,4716847,PDSC3,,,2023-02-20
14,FA6607438577118830,CN4408536577491469,1,Y,CN4408536577491469,4764394,PDSC3,,,2022-07-30
15,FA9751580256536186,CN4408893164790582,1,Y,CN4408893164790582,4763492,PDSC3,,,2022-09-29
16,FA6304570648818518,CN4408538448993812,1,Y,CN4408538448993812,4775050,PDSC3,,,2022-12-13
17,FA7342168377713626,CN4408230238752849,1,Y,CN4408230238752849,4789814,PDSC3,,,2023-03-15
18,FA3254386322490018,CN4408285143655948,1,Y,CN4408285143655948,4787966,PDSC3,,,2023-02-22
19,FA3254386322490018,CR4509452113693935,2,Y,CR4509452113693935,4788705,PDSC2,10.0,72000.0,2022-06-13
20,FA3254386322490018,CR4509395158828249,2,Y,CR4509395158828249,4749112,PDSC2,10.0,72000.0,2022-07-15
21,FA5639165521635577,CR4509137966253116,2,Y,CR4509137966253116,4768488,PDSC2,10.0,56000.0,2022-10-11
22,FA8230069976338160,CN4408769123406431,1,Y,CN4408769123406431,4797948,PDSC3,,,2022-08-25
23,FA8230069976338160,CN4408290387990220,1,Y,CN4408290387990220,4739649,PDSC3,,,2023-05-03
24,FA6859481227544012,CR4509319995997867,2,Y,CR4509319995997867,4740781,PDSC2,10.0,46000.0,2023-05-19
25,FA7350703421125878,CN4408481040279801,1,Y,CN4408481040279801,4765812,PDSC3,,,2023-01-09
26,FA3272713133814003,CN4408262026644739,1,Y,CN4408262026644739,4779959,PDSC3,,,2023-04-04
27,FA3272713133814003,CN4408129206272099,1,Y,CN4408129206272099,4767530,PDSC3,,,2022-11-17
28,FA3272713133814003,CR4509132943692490,2,Y,CR4509132943692490,4718786,PDSC2,100.0,45000.0,2022-08-10
29,FA8292303655050310,CN4408751804930605,1,Y,CN4408751804930605,4718751,PDSC3,,,2022-07-19
30,FA9109566984039699,CN4408499747114476,1,Y,CN4408499747114476,4740306,PDSC3,,,2022-11-05
31,FA6347477741803500,CN4408368349719780,1,Y,CN4408368349719780,4781808,PDSC3,,,2022-09-14
32,FA6347477741803500,CR4509605952608894,2,Y,CR4509605952608894,4740086,PDSC2,10.0,77000.0,2022-06-14
33,FA9750238500545362,CR4509604210467027,2,Y,CR4509604210467027,4795704,PDSC2,100.0,64000.0,2022-11-20
34,FA9876835723186077,CR4509811591191406,2,Y,CR4509811591191406,4752032,PDSC2,10.0,45000.0,2022-08-24
35,FA9876835723186077,CN4408734241977202,1,Y,CN4408734241977202,4717016,PDSC3,,,2022-07-09
36,FA9876835723186077,CN4408781248401907,1,Y,CN4408781248401907,4776931,PDSC3,,,2022-09-03
37,FA7862771492693830,CN4408537348685617,1,Y,CN4408537348685617,4721833,PDSC3,,,2022-10-22
38,FA1353138166266962,CN4408305142069603,1,Y,CN4408305142069603,4757945,PDSC3,,,2023-01-22
39,FA9133582984450755,CN4408484330389709,1,Y,CN4408484330389709,4781529,PDSC3,,,2022-08-08
40,FA9133582984450755,CN4408333340786339,1,Y,CN4408333340786339,4720465,PDSC3,,,2023-01-18
41,FA9133582984450755,CN4408786495216394,1,Y,CN4408786495216394,4722086,PDSC3,,,2023-02-06
42,FA4564100776621249,CN4408611991843953,1,Y,CN4408611991843953,4730048,PDSC3,,,2022-12-10
43,FA4564100776621249,CN4408744051400276,1,Y,CN4408744051400276,4782109,PDSC3,,,2023-03-20
44,FA2245548812918621,CN4408430329963278,1,Y,CN4408430329963278,4724241,PDSC3,,,2022-12-07
45,FA2245548812918621,CR4509755232318900,2,Y,CR4509755232318900,4710389,PDSC2,100.0,31000.0,2022-12-18
46,FA2245548812918621,CN4408689446360134,1,Y,CN4408689446360134,4721069,PDSC3,,,2022-08-04
